Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Rastrigin_D2_Tournament_C0.8_M4.0,Rastrigin,2,Tournament,0.8,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.39
Rastrigin_D2_Tournament_C0.9_M1.0,Rastrigin,2,Tournament,0.9,1.0,0.029412,6.1e-07,0.06633119,0.24818632,200,100,,30,0.49
Rastrigin_D2_Tournament_C0.9_M2.0,Rastrigin,2,Tournament,0.9,2.0,0.058824,6.1e-07,0.06633119,0.24818632,200,100,,30,0.4
Rastrigin_D2_Tournament_C0.9_M4.0,Rastrigin,2,Tournament,0.9,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.4
Rastrigin_D30_Roulette_C0.7_M1.0,Rastrigin,30,Roulette,0.7,1.0,0.001961,38.80337626,59.79698255,9.13105122,400,150,50.0,30,1.77
Rastrigin_D30_Roulette_C0.7_M2.0,Rastrigin,30,Roulette,0.7,2.0,0.003922,37.80841748,61.58790417,10.82127912,400,150,50.0,30,1.77
Rastrigin_D30_Roulette_C0.7_M4.0,Rastrigin,30,Roulette,0.7,4.0,0.007843,32.83362778,52.43429257,7.73746126,400,150,50.0,30,1.78
Rastrigin_D30_Roulette_C0.8_M1.0,Rastrigin,30,Roulette,0.8,1.0,0.001961,36.81346288,60.3607956,11.21652879,400,150,50.0,30,1.77
Rastrigin_D30_Roulette_C0.8_M2.0,Rastrigin,30,Roulette,0.8,2.0,0.003922,44.7731164,62.21804315,10.52253519,400,150,50.0,30,1.79
Rastrigin_D30_Roulette_C0.8_M4.0,Rastrigin,30,Roulette,0.8,4.0,0.007843,36.81345871,55.41916647,10.14385155,400,150,50.0,30,1.8
Rastrigin_D30_Roulette_C0.9_M1.0,Rastrigin,30,Roulette,0.9,1.0,0.001961,47.75799689,62.11856342,7.58903842,400,150,50.0,30,1.79
Rastrigin_D30_Roulette_C0.9_M2.0,Rastrigin,30,Roulette,0.9,2.0,0.003922,40.79328964,62.35070432,9.97055778,400,150,50.0,30,1.79
Rastrigin_D30_Roulette_C0.9_M4.0,Rastrigin,30,Roulette,0.9,4.0,0.007843,39.79833086,56.04930846,7.50883994,400,150,50.0,30,1.8
Rastrigin_D30_Tournament_C0.7_M1.0,Rastrigin,30,Tournament,0.7,1.0,0.001961,45.76807934,58.00870992,7.57427362,400,150,50.0,30,1.51
Rastrigin_D30_Tournament_C0.7_M2.0,Rastrigin,30,Tournament,0.7,2.0,0.003922,37.80842165,57.04443897,10.71707484,400,150,50.0,30,1.55
Rastrigin_D30_Tournament_C0.7_M4.0,Rastrigin,30,Tournament,0.7,4.0,0.007843,37.80841748,57.7075718,9.69764814,400,150,50.0,30,1.51
Rastrigin_D30_Tournament_C0.8_M1.0,Rastrigin,30,Tournament,0.8,1.0,0.001961,38.80338042,53.93531554,8.79167779,400,150,50.0,30,1.5
Rastrigin_D30_Tournament_C0.8_M2.0,Rastrigin,30,Tournament,0.8,2.0,0.003922,43.77816179,56.08399386,8.89630541,400,150,50.0,30,1.54
Rastrigin_D30_Tournament_C0.8_M4.0,Rastrigin,30,Tournament,0.8,4.0,0.007843,35.81849993,53.89522343,8.28265966,400,150,50.0,30,1.51
Rastrigin_D30_Tournament_C0.9_M1.0,Rastrigin,30,Tournament,0.9,1.0,0.001961,33.82858655,47.9566761,9.3061205,400,150,50.0,30,1.53
Rastrigin_D30_Tournament_C0.9_M2.0,Rastrigin,30,Tournament,0.9,2.0,0.003922,30.84371857,49.97272522,9.43170775,400,150,50.0,30,1.52
Rastrigin_D30_Tournament_C0.9_M4.0,Rastrigin,30,Tournament,0.9,4.0,0.007843,25.8689247,47.76552136,11.01430659,400,150,50.0,30,1.52
